Question,Answer
"Sport climbing routes are known for being a purely sporting endeavor without the risks associated with ________.
A) indoor climbing
B) traditional climbing
C) competitive climbing
D) speed climbing",B
"The bolting controversy in sport climbing was related to the protection of climbers on ________ rock surfaces.
A) indoor
B) artificial
C) natural
D) underwater",C
"In which decade did competition climbing experience rapid development due to the safer aspect of sport climbing?
A) 1970s
B) 1980s
C) 1990s
D) 2000s",B
"The 1988 International Sport Climbing Championship was significant for:
A) Introducing a new scoring system
B) The first use of bolted routes in competitions
C) Bringing together leading European and American climbers
D) Launching the first IFSC Climbing World Cup",C
"Which organization was responsible for regulating major international climbing competitions by the end of the 1990s?
A) The International Olympic Committee (IOC)
B) The International Federation of Sport Climbing (IFSC)
C) The Union Internationale des Associations d'Alpinisme (UIAA)
D) Both B and C",D
"The IFSC Climbing World Championships are held:
A) Annually
B) Biennially
C) Every four years
D) Every five years",B
"Competitive climbing includes which of the following disciplines?
A) Sport climbing only
B) Bouldering only
C) Speed climbing only
D) Sport climbing, bouldering, and speed climbing",D
"Advanced sport climbing routes often describe the hardest moves using which grading systems?
A) French ""Font"" and American ""V-scale""
B) UIAA and British
C) Australian and Brazilian
D) Yosemite Decimal System and Ewbank",A
"What is the main difference between French sport-grades and French ""Font"" boulder grades?
A) The numerical value
B) The type of climbing
C) The use of ""capitalized"" letters
D) The geographic location",C
"What was the sport-grade of Silence, the route redpointed by Adam Ondra in 2017?
A) 9b
B) 9c
C) 9a+
D) 9b+",B
"In the American grading system, what is the equivalent of a 9c French sport-grade?
A) 5.14d
B) 5.15a
C) 5.15c
D) 5.15d",D
"According to the content, what is the purpose of using bouldering grades in sport climbing routes?
A) To describe the easiest moves
B) To provide a route name
C) To describe the hardest moves
D) To indicate the length of the route",C
"The practice of bolting routes for sport climbing originated in the early _______.
A) 1970s
B) 1980s
C) 1990s
D) 2000s",B
"One of the ethical debates in climbing centers around _______.
A) the use of climbing shoes
B) bolting natural rock faces
C) the type of clothing climbers wear
D) the use of chalk to improve grip",B
"The inclusion of sport climbing in the Olympic Games occurred in the year _______.
A) 2016
B) 2018
C) 2020
D) 2022",C
"In competition climbing, the discipline that incorporates the bolted sport climbing element is known as _______.
A) bouldering
B) lead climbing
C) speed climbing
D) free soloing",B
"In sport climbing, what is the role of the second climber?
A) To lead and clip into pre-drilled bolts
B) To remove the quickdraws as they climb
C) To put in temporary protection equipment
D) To climb without any protection",B
"What does the lead climber use to clip into the bolts for protection?
A) Harnesses
B) Carabiners
C) Quickdraws
D) Ropes",C
"Sport climbing is considered safer than traditional climbing because:
A) It requires no climbing protection
B) It is performed without a belayer
C) It uses pre-drilled permanently fixed bolts
D) The lead climber uses temporary protection equipment",C
"Which of the following is NOT a discipline within competition climbing?
A) Lead climbing
B) Bouldering
C) Speed climbing
D) Aid climbing",D
